"OEC ID";"HS ID";"Product Level";"Product Name";"Revision"
"6293355";"29.33.55";"HS6";"Heterocyclic Compounds (Pyrimidine/Piperazine Ring, Loprazolam/Methaqualone, Salts)";"HS02,HS07,HS12,HS17,HS22"
"6293359";"29.33.59";"HS6";"Hetercyclic compounds with pyrimidine ring nes";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293361";"29.33.61";"HS6";"Melamine";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293369";"29.33.69";"HS6";"Heterocyclic compds with an unfused triazine ring nes";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293371";"29.33.71";"HS6";"6-hexanelactam (epsilon-captolactam)";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293372";"29.33.72";"HS6";"Heterocyclic Compounds (Lactams, Clobazam, Methyprylon)";"HS02,HS07,HS12,HS17,HS22"
"6293379";"29.33.79";"HS6";"Lactams other than 6-hexanelactam";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293390";"29.33.90";"HS6";"Heterocyclic compounds with N-hetero-atom(s) only, ne";"HS92,HS96"
"6293391";"29.33.91";"HS6";"Heterocyclic Compounds (n.e.c. in Headings 2933.1 to 2933.7)";"HS02,HS07,HS12,HS17,HS22"
"6293392";"29.33.92";"HS6";"Heterocyclic compounds; azinphos-methyl (ISO)";"HS17,HS22"
"6293399";"29.33.99";"HS6";"Heterocyclic Compounds (n.e.c. in Heading 2933)";"HS02,HS07,HS12,HS17,HS22"
"62934";"29.34";"HS4";"Nucleic Acids";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293410";"29.34.10";"HS6";"Heterocyclic compounds with an unfused thiazole ring";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293420";"29.34.20";"HS6";"Heterocyclic compounds containing a benzothiazole rin";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293430";"29.34.30";"HS6";"Heterocyclic compounds containing a phenothiazine rin";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293490";"29.34.90";"HS6";"Heterocyclic compounds, nes";"HS92,HS96"
"6293491";"29.34.91";"HS6";"Other heterocyclic compounds, n.e.c. in 2934.1, 2934.2 and 2934.3";"HS02,HS07,HS12,HS17,HS22"
"6293492";"29.34.92";"HS6";"Other fentanyls and derivatives";"HS22"
"6293499";"29.34.99";"HS6";"Nucleic Acids & Other Heterocyclic Compounds (n.e.c.)";"HS02,HS07,HS12,HS17,HS22"
"62935";"29.35";"HS4";"Sulfonamides";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293500";"29.35.00";"HS6";"Sulphonamides in bulk";"HS92,HS96,HS02,HS07,HS12"
"6293510";"29.35.10";"HS6";"Sulphonamides; N-methylperfluorooctane sulphonamide";"HS17,HS22"
"6293520";"29.35.20";"HS6";"Sulphonamides; N-ethylperfluorooctane sulphonamide";"HS17,HS22"
"6293530";"29.35.30";"HS6";"Sulphonamides; N-ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide";"HS17,HS22"
"6293540";"29.35.40";"HS6";"Sulphonamides; N-(2-hydroxyethyl)-N-methylperfluorooctane sulphonamide";"HS17,HS22"
"6293550";"29.35.50";"HS6";"Sulphonamides; other perfluorooctane sulphonamides";"HS17,HS22"
"6293590";"29.35.90";"HS6";"Sulphonamides; n.e.c. in heading no. 2935";"HS17,HS22"
"62936";"29.36";"HS4";"Vitamins";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293610";"29.36.10";"HS6";"Provitamins, unmixed";"HS92,HS96,HS02"
"6293621";"29.36.21";"HS6";"Vitamins A, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293622";"29.36.22";"HS6";"Vitamin B1, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293623";"29.36.23";"HS6";"Vitamin B2, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293624";"29.36.24";"HS6";"Vitamin B3 & B5, D-or DL-panthothenic acid,derivative";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293625";"29.36.25";"HS6";"Vitamin B6, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293626";"29.36.26";"HS6";"Vitamin B12, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293627";"29.36.27";"HS6";"Vitamin C, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293628";"29.36.28";"HS6";"Vitamin E, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293629";"29.36.29";"HS6";"Vitamins nes, derivatives, unmixed";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293690";"29.36.90";"HS6";"Vitamin concentrates, intermixtures of vitamins";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"62937";"29.37";"HS4";"Hormones";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293710";"29.37.10";"HS6";"Pituitary anterior hormones and derivatives";"HS92,HS96"
"6293711";"29.37.11";"HS6";"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues: somatotropin, its derivatives and structural analogues";"HS02,HS07,HS12,HS17,HS22"
"6293712";"29.37.12";"HS6";"Insulin & Derivatives (Polypeptide, Protein & Glycoprotein Hormones)";"HS02,HS07,HS12,HS17,HS22"
"6293719";"29.37.19";"HS6";"Other Protein & Polypeptide Hormones (Excl. Insulin & Somatotropin)";"HS02,HS07,HS12,HS17,HS22"
"6293721";"29.37.21";"HS6";"Cortisone,hydrocortisone,prednisone,prednisolone, bul";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293722";"29.37.22";"HS6";"Halogenated derivs adrenalal cortical hormones, bulk";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293723";"29.37.23";"HS6";"Steroidal hormones, their derivatives and structural analogues: oestrogens and progestogens";"HS02,HS07,HS12,HS17,HS22"
"6293729";"29.37.29";"HS6";"Adrenal cortical hormones nes, in bulk, derivatives";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293731";"29.37.31";"HS6";"Epinephrine";"HS02,HS07"
"6293739";"29.37.39";"HS6";"Catecholamine hormones other than epinephrine, their derivs. & structural";"HS02,HS07"
"6293740";"29.37.40";"HS6";"Amino-acid derivs.";"HS02,HS07"
"6293750";"29.37.50";"HS6";"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues";"HS02,HS07,HS12,HS17,HS22"
"6293790";"29.37.90";"HS6";"Hormones & Analogues (Prostaglandins/Thromboxanes/Leukotrienes, n.e.c. 2937)";"HS02,HS07,HS12,HS17,HS22"
"6293791";"29.37.91";"HS6";"Insulin, salts, in bulk";"HS92,HS96"
"6293792";"29.37.92";"HS6";"Oestrogens and progestogens, in bulk";"HS92,HS96"
"6293799";"29.37.99";"HS6";"Hormones nes, derivatives, in bulk, steroids nes";"HS92,HS96"
"62938";"29.38";"HS4";"Glycosides";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293810";"29.38.10";"HS6";"Rutoside (rutin), derivatives, in bulk";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
"6293890";"29.38.90";"HS6";"Glycosides and salts, ethers, esters, derivs nes, bul";"HS92,HS96,HS02,HS07,HS12,HS17,HS22"
